id,correct,question,refs,a,b,c,d,figure,correct_letter
T1B03,1,Which frequency is in the 6-meter amateur band?,[97.301(a)],49.00 MHz,52.525 MHz,28.50 MHz,222.15 MHz,,B
T1B04,3,Which amateur band includes 146.52 MHz?,[97.301(a)],6 meters,20 meters,70 centimeters,2 meters,,D
T1B05,3,Which of the following bands include frequencies where Technicians are authorized to use digital modes such as FT8?,"[97.301, 97.305]",10 meters,6 meters,2 meters,All these choices are correct,,D
T1B06,1,On which HF bands does a Technician class operator have phone privileges?,"[97.301(e), 97.305]",None,10-meter band only,"80-meter, 40-meter, 15-meter, and 10-meter bands",30-meter band only,,B
T1B07,0,Which of the following VHF/UHF band segments are limited to CW only?,"[97.305(a), (c)]",50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz,219 MHz to 220 MHz and 420.0 MHz to 420.1 MHz,902.0 MHz to 902.1 MHz,All these choices are correct,,A
T1B08,0,How are US amateurs restricted in segments of bands where the Amateur Radio Service is secondary?,[97.303],"U.S. amateurs may find non-amateur stations in those segments, and must avoid interfering with them",U.S. amateurs must give foreign amateur stations priority in those segments,International communications are not permitted in those segments,Digital transmissions are not permitted in those segments,,A
T1B09,3,Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?,"[97.101(a), 97.301(a-e)]",To allow for calibration error in the transmitter frequency display,So that modulation sidebands do not extend beyond the band edge,To allow for transmitter frequency drift,All these choices are correct,,D
T1B10,2,Where may SSB phone be used in amateur bands above 50 MHz?,[97.305(c)],Only in sub-bands allocated to General class or higher licensees,Only on repeaters,In at least some segment of all these bands,On any band if the power is limited to 25 watts,,C
T1B11,0,What is the maximum peak envelope power output for Technician class operators in their HF band segments?,[97.313],200 watts,100 watts,50 watts,10 watts,,A
T1B12,3,"Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?",[97.313(b)],50 watts,100 watts,500 watts,1500 watts,,D
T1C01,3,For which classes of amateur radio licenses does the FCC currently issue new licenses?,"[97.9(a), 97.17(a)]","Novice, Technician, General, Amateur Extra","Technician, Technician Plus, General, Amateur Extra","Novice, Technician Plus, General, Advanced","Technician, General, Amateur Extra",,D
T1C02,3,Who may select a desired call sign under the vanity call sign rules?,[97.19],Only a licensed amateur with a General or Amateur Extra Class license,Only a licensed amateur with an Amateur Extra Class license,Only a licensed amateur who has been licensed continuously for more than 10 years,Any licensed amateur,,D
T1C03,0,What types of international communications are FCC-licensed amateur radio stations permitted to make?,[97.117],Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character,Communications incidental to conducting business or remarks of a personal nature,Only communications incidental to contest exchanges; all other communications are prohibited,Any communications that would be permitted by an international broadcast station,,A
T1C04,1,What may happen if the FCC is unable to reach you by email?,[97.23],Fine and suspension of operator license,Revocation of the station license or suspension of the operator license,Revocation of access to the license record in the FCC system,Nothing; there is no such requirement,,B
T1C05,0,Which of the following is a valid Group D call sign format for Technician class?,,KF1XXX,KA1X,W1XX,All these choices are correct,,A
T1C06,3,Which of the following statements is true about using your amateur radio license when operating aboard a vessel or craft in international waters?,"[97.5(a)(2), 97.11(a)]",Amateur operation is prohibited in international waters,You may only operate during maritime emergencies,You need special FCC authorization for maritime mobile operation,You may operate from a US-documented vessel with the master's permission,,D
T1C07,1,How long before the expiration date may an amateur radio license renewal be requested?,"[97.21, 1.949]",30 days,90 days,6 months,1 year,,B
T1C08,2,What is the normal term for an FCC-issued amateur radio license?,[97.25],Five years,Eight years,Ten years,Life,,C
T1C09,0,What is the grace period for renewal if an amateur license expires?,[97.21(a)(b)],Two years,Three years,Five years,Ten years,,A
T1C10,2,How soon after passing the examination for your first amateur radio license may you transmit on the amateur radio bands?,[97.5a],Immediately on receiving your Certificate of Successful Completion of Examination (CSCE),As soon as your operator/station license grant appears on the ARRL website,As soon as your operator/station license grant appears in the FCC’s license database,As soon as you receive your license in the mail from the FCC,,C
T1C11,3,"If your license has expired and is still within the allowable grace period, may you continue to transmit on the amateur radio bands?",[97.21(b)],"Yes, for up to two years","Yes, as soon as you apply for renewal","Yes, for up to one year","No, you must wait until the license has been renewed",,D
T1D01,0,With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?,[97.111(a)(1)],Any country whose administration has notified the International Telecommunication Union (ITU) that it objects to such communications,Any country whose administration has notified the American Radio Relay League (ARRL) that it objects to such communications,Any country banned from such communications by the International Amateur Radio Union (IARU),Any country banned from making such communications by the American Radio Relay League (ARRL),,A
T1D02,1,Under which of the following circumstances are one-way transmissions by an amateur station prohibited?,"[97.113(b), 97.111(b)]",Announcements of upcoming ham radio operating events,Broadcasting,International Morse Code Practice,Telecommand or transmissions of telemetry,,B
T1D03,2,When is it permissible to transmit messages encoded to obscure their meaning?,"[97.211(b), 97.215(b), 97.113(a)(4)]",Only when using a remote station during a contest,Only when transmitting certain approved digital codes,Only when transmitting control commands to space stations or model craft,Never,,C
T1D04,0,Under what conditions is an amateur station authorized to transmit music using a phone emission?,"[97.113(a)(4), 97.113(c)]",When incidental to an authorized retransmission of manned spacecraft communications,When the music produces no spurious emissions,When transmissions are limited to less than three minutes per hour,When the music is transmitted above 1280 MHz,,A
T1D05,3,When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?,[97.113(a)(3)(ii)],Never,"When the equipment is not the personal property of either the station licensee, or the control operator, or their close relatives",When no profit is made on the sale,When selling amateur radio equipment and not on a regular basis,,D
T1D06,1,"What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?",[97.113(a)(4)],The FCC maintains a list of words that are not permitted to be used on amateur frequencies,Any such language is prohibited,The International Telecommunications Union (ITU) maintains a list of words that are not permitted to be used on amateur frequencies,There is no such prohibition,,B
T1D07,0,Which of the following is an example of an auxiliary station?,"[97.113(d), 97.201(e)]",A station sending one-way transmissions between a remote repeater receiver and the main repeater transmitter,A backup radio for emergency use in case the main station radio fails,A station used in the Military Auxiliary Radio System for linking government and amateur stations in a digital network,A second station utilized in multi-operator contest stations,,A
T1D08,1,In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?,[97.113(a)(3)(iii)],When the communication is related to the sale of amateur equipment by the control operator's employer,When the communication is a part of classroom instruction at an educational institution,When the communication is made to obtain emergency information for a local broadcast station,All these choices are correct,,B
T1D09,0,"When may amateur stations transmit information in support of broadcasting, program production, or news gathering, assuming no other means is available?",[97.113(5)(b)],When such communications are directly related to the immediate safety of human life or protection of property,When broadcasting communications to or from the space shuttle,Where non-commercial programming is gathered and supplied exclusively to the National Public Radio network,Never,,A
T1D10,3,How does the FCC define broadcasting for the Amateur Radio Service?,[97.3(a)(10)],Two-way transmissions by amateur stations,Any transmission made by the licensed station,Transmission of messages directed only to amateur operators,Transmissions intended for reception by the general public,,D
T1D11,3,When may an amateur station transmit without identifying on the air?,[97.215],When the transmissions are of a brief nature to make station adjustments,When the transmissions are unmodulated,When the transmitted power level is below 0.1 watt,When transmitting signals to control model craft,,D
T1D12,0,Which of the following is required when making on-the-air test transmissions?,[97.119(a)],Identify the transmitting station,Conduct tests only between 10 p.m. and 6 a.m. local time,Notify the FCC of the transmissions,All these choices are correct,,A
T1E01,3,When may an amateur station transmit without a control operator?,[97.7(a)],"When using automatic control, such as in the case of a repeater",When the station licensee is away and another licensed amateur is using the station,When the transmitting station is an auxiliary station,Never,,D
T1E02,3,Who may be the control operator of a station communicating through an amateur satellite or space station?,"[97.301, 97.207(c)]",Only an Amateur Extra Class operator,A General class or higher licensee with a satellite operator certification,Only an Amateur Extra Class operator who is also an AMSAT member,Any amateur allowed to transmit on the satellite uplink frequency,,D
T1E03,0,Who must designate the station control operator?,[97.103(b)],The station licensee,The FCC,The frequency coordinator,Any licensed operator,,A
T1E04,3,What determines the transmitting frequency privileges of an amateur station?,[97.103(b)],The frequency authorized by the frequency coordinator,The frequencies printed on the license grant,The highest class of operator license held by anyone on the premises,The class of operator license held by the control operator,,D
T1E05,2,What is an amateur station’s control point?,[97.3(a)(14)],The location of the station’s transmitting antenna,The location of the station’s transmitting apparatus,The location at which the control operator function is performed,The mailing address of the station licensee,,C
T1E06,0,"When, other than during an emergency, may a Technician class licensee be the control operator of a station operating in an Amateur Extra Class band segment?",[97.301],At no time,When designated as the control operator by an Amateur Extra Class licensee,As part of a multi-operator contest team,When using a club station whose trustee holds an Amateur Extra Class license,,A
T1E07,3,"When the control operator is not the station licensee, who is responsible for the proper operation of the station?",[97.103(a)],All licensed amateurs who are present at the operation,Only the station licensee,Only the control operator,The control operator and the station licensee,,D
T1E08,0,Which of the following is an example of automatic control?,"[97.3(a)(6), 97.205(d)]",Repeater operation,Controlling a station over the internet,Using a computer or other device to send CW automatically,Using a computer or other device to identify automatically,,A
T1E09,3,Which amateur stations may be remotely controlled?,[97.109(c)],Only repeater stations,Only automatically controlled stations,Only digital stations,Any station,,D
T1E10,1,Which of the following is an example of remote control as defined in Part 97?,[97.3(a)(39)],A software defined radio (SDR),Operating the station over the internet,"Controlling a model aircraft, boat, or car by amateur radio",Earth-Moon-Earth (EME) communication,,B
T1E11,3,What is a control operator as defined in Part 97?,[97.3(a)(13)],The person speaking or otherwise communicating messages over an amateur station,The person who is the licensee of an amateur station,An amateur operator identified in the FCC database as responsible for transmissions and FCC rules compliance at a station license location,An amateur operator designated by the licensee of a station to be responsible for transmissions and FCC rules compliance at that station,,D
T1F01,1,When must the station licensee make the station and the station records available for inspection?,[97.103(c)],At any time ten days after notification by the FCC of such an inspection,At any time upon request by an FCC representative,At any time after a written notification by the FCC of such inspection,Only when presented with a valid warrant by an FCC official or government agent,,B
T1F02,2,How often must you identify with your FCC-assigned call sign when using tactical call signs such as “Race Headquarters”?,[97.119(a)],"Never, the tactical call is sufficient",Once every hour,At least every 10 minutes during and at the end of a communication,At the end of every transmission,,C
T1F03,3,When are you required to transmit your assigned call sign?,[97.119(a)],"At the beginning of each contact, and every 10 minutes thereafter",At least once during each transmission,At least every 15 minutes during and at the end of a communication,At least every 10 minutes during and at the end of a communication,,D
T1F04,2,What language must you use for identification when using a phone emission?,[97.119(b)(2)],Any language recognized by the United Nations,Any language recognized by the ITU,English,"English, French, or Spanish",,C
T1F05,1,What method of call sign identification is required for a station transmitting phone signals?,[97.119(b)(2)],Send the call sign followed by the indicator RPT,Send the call sign using a CW or phone emission,Send the call sign followed by the indicator R,Send the call sign using only a phone emission,,B
T1F06,3,Which of the following self-assigned indicators are acceptable when using a phone transmission?,[97.119(c)],KL7CC stroke W3,KL7CC slant W3,KL7CC slash W3,All these choices are correct,,D
T1F07,1,Which of the following restrictions apply when a non-licensed person speaks to a foreign amateur radio station via a station under the control of an FCC-licensed amateur radio operator?,[97.115(a)(2)],The person must be a U.S. citizen,The foreign station must be in a country with which the U.S. has a third-party agreement,The licensed control operator must do the station identification,All these choices are correct,,B
T1F08,0,What is the definition of third-party communications?,[97.3(a)(47)],A message from a control operator to another amateur station control operator on behalf of another person,Amateur radio communications where three stations are in communications with one another,Operation when the transmitting equipment is licensed to a person other than the control operator,Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments,,A
T1F09,2,What type of amateur station simultaneously retransmits the signal of another amateur station on a different channel or channels?,[97.3(a)(40)],Beacon station,Remote control station,Repeater station,Message forwarding station,,C
T1F10,0,Who is accountable if a repeater inadvertently retransmits communications that violate the FCC rules?,[97.205(g)],The control operator of the originating station,The control operator of the repeater,The owner of the repeater,Both the originating station and the repeater owner,,A
T1F11,1,Which of the following is a requirement for the issuance of a club station license grant?,[97.5(b)(2)],The trustee must have an Amateur Extra Class operator license grant,The club must have at least four members,The club must be registered with the American Radio Relay League (ARRL),All these choices are correct,,B
T2A01,1,What is a common repeater frequency offset in the 2-meter band?,,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz,,B
T2A02,0,What is the national calling frequency for FM simplex operations in the 2-meter band?,,146.520 MHz,145.000 MHz,432.100 MHz,446.000 MHz,,A
T2A03,0,What is a common repeater frequency offset in the 70-centimeter band?,,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz,,A
T2A04,1,What is an appropriate way to call another station on a repeater if you know the other station's call sign?,,"Say ""break, break,"" then the other station’s call sign, followed by your call sign","Say the station's call sign, then identify with your call sign","Say ""CQ"" three times, then the other station's call sign, followed by your call sign","Wait for the station to call CQ, then answer with your call sign",,B
T2A05,2,How should you respond to a station calling CQ?,,"Transmit ""CQ"" followed by the other station’s call sign",Transmit your call sign followed by the other station’s call sign,Transmit the other station’s call sign followed by your call sign,Transmit a signal report followed by your call sign,,C
T2A06,3,What is an effective way to seek a call from any phone station when not using a repeater?,,"Sign your call sign once, followed by the words “listening for a call;” if there is no answer, change the frequency and repeat","Say “QTC,” followed by “this is” and your call sign; if there is no answer, change the frequency and repeat","Transmit an unmodulated carrier for approximately 10 seconds, followed by “this is” and your call sign, and pause to listen; repeat as necessary","Repeat “CQ” a few times, followed by “this is,” and your call sign, then pause to listen; repeat as necessary",,D
T2A07,0,"What does the term ""repeater offset"" mean?",,The difference between a repeater’s transmit and receive frequencies,The repeater has a time delay to prevent interference,The approximately half-second delay to allow for the “squelch tail” to be removed,The fee charged by the repeater owner or club to provide for maintenance,,A
T2A08,3,What is the meaning of the procedural signal “CQ”?,,A shortened form of the term “Contest QSO”,"“Communication Quality,” used to indicate transmitted audio clarity",Only the called station should transmit,Calling any station,,D
T2A09,1,Which of the following is a customary way to indicate a station is listening on a repeater and looking for a contact?,,“CQ CQ” followed by the repeater’s call sign,The station’s call sign followed by the word “listening”,The repeater’s call sign followed by the station’s call sign,“QSY” followed by your call sign,,B
T2A10,0,"What is a band plan, beyond the privileges established by the FCC?",,A voluntary guideline for using different modes or activities within an amateur band,A list of operating schedules,A list of available net frequencies,A plan devised by a club to indicate frequency band usage,,A
T2A11,2,What term describes an amateur station that is transmitting and receiving on the same frequency?,,Full duplex,Diplex,Simplex,Multiplex,,C
T2B01,2,What is the purpose of the reverse function on a VHF/UHF transceiver?,,To reduce power output,To increase power output,To listen on a repeater’s input frequency,To listen on a repeater’s output frequency,,C
T2B02,3,What term describes the use of a sub-audible tone transmitted along with normal voice audio to open the squelch of a receiver?,,Carrier squelch,Tone burst,DTMF,CTCSS,,D
T2B03,0,Which of the following describes a linked repeater network?,,A network of repeaters in which signals received by one repeater are transmitted by all the repeaters in the network,A single repeater with more than one receiver,Multiple repeaters with the same control operator,A system of repeaters linked by APRS,,A
T2B04,3,Which of the following could be the reason you are unable to access a repeater whose output you can hear?,,Improper transceiver offset,You are using the wrong CTCSS tone,You are using the wrong DCS code,All these choices are correct,,D
T2B05,2,Which of the following would cause your FM transmission audio to drop out on voice peaks?,,Your repeater offset is inverted,Your FM deviation is too low,You are talking too loudly,Your transmit power is too high,,C
T2B06,0,What type of signaling to a repeater uses two simultaneous audio tones?,,DTMF,CTCSS,GMRS,D-STAR,,A
T2B07,2,How can you join a digital repeater’s “talkgroup”?,,Register with the local Frequency Coordinator,Register with the digital repeater control operator,Program your radio with the group’s ID or code,Program your radio with the DTMF tone used by the talkgroup,,C
T2B08,0,Which of the following applies when two stations transmitting on the same frequency interfere with each other?,,The stations should negotiate continued use of the frequency,Both stations should choose another frequency to avoid conflict,Whichever station was on the frequency first has preemptive rights to the frequency,Use subaudible tones so both stations can share the frequency,,A
T2B09,0,Why are simplex channels designated in the VHF/UHF band plans?,,So stations within range of each other can communicate without tying up a repeater,For contest operation,For working DX only,So stations with simple transmitters can access the repeater without automated offset,,A
T2B10,0,Which Q signal indicates that you are receiving interference from other stations?,,QRM,QRN,QTH,QSB,,A
T2B11,1,Which Q signal indicates that you are changing frequency?,,QRU,QSY,QSL,QRZ,,B
T2B12,0,What is the digital color code used on DMR repeater systems?,,An access code which must be programmed into a DMR transmitter to access a specific repeater,A code which automatically programs the repeater offset to a frequency chosen by the user,A code which identifies the specific CODEC being used so that the repeater can properly decode the audio,A code transmitted by the repeater to indicate health and status of the equipment,,A
T2B13,1,What is the purpose of a squelch function?,,Reduce a CW transmitter's key clicks,Mute the receiver audio when a signal is not present,Eliminate parasitic oscillations in an RF amplifier,Reduce interference from impulse noise,,B
T2B14,1,Which of the following is a “talkgroup”?,,A group of amateur radio operators who share email on a specific amateur radio topic,An identifier used by DMR to organize radio traffic so that those who want to hear the group aren’t bothered by other radio traffic,The members of a net organized for amateur radio operators with a specific common interest,A method of automatically alerting all group members to the frequency where any member is transmitting,,B
T2C01,3,When do the FCC Part 97 Amateur Radio Service rules NOT apply to the operation of an amateur station?,[97.103(a)],When operating under RACES rules,When operating under FEMA rules,When operating under ARES rules,FCC rules always apply,,D
T2C02,2,Which of the following are typical duties of a Net Control Station?,,Choose the regular net meeting time and frequency,Ensure that all stations checking into the net are properly licensed for operation on the net frequency,Call the net to order and direct communications between stations checking in,All these choices are correct,,C
T2C03,2,What technique is used to ensure that voice messages containing unusual words are received correctly?,,Send the words by voice and Morse code,Use the Q-code “QSR” to ask the receiving station to repeat the words back,Spell the words using a standard phonetic alphabet,All these choices are correct,,C
T2C04,3,What is RACES?,,An emergency organization combining amateur radio and citizens band operators and frequencies,An international radio experimentation society,"A radio contest held in a short period, sometimes called a “sprint”",An FCC Part 97 amateur radio service for civil defense communications during national emergencies,,D
T2C05,0,What does the term “traffic” refer to in net operation?,,Formal messages exchanged by net stations,The number of stations checking in and out of a net,Operation by mobile or portable stations,A count of the number of activations of the net each month,,A
T2C06,0,What is the Amateur Radio Emergency Service (ARES)?,,A group of licensed amateurs who have voluntarily registered their qualifications and equipment for communications duty in the public service,A group of licensed amateurs who are members of the military and who voluntarily agreed to provide message handling services in the case of an emergency,A training program that provides licensing courses for those interested in obtaining an amateur license to use during emergencies,A training program that certifies amateur operators for membership in the Radio Amateur Civil Emergency Service,,A
T2C07,2,Which of the following is standard practice when you participate in a net?,,"When first responding to the net control station, transmit your call sign, name, and address as in the FCC database",Record the time of each of your transmissions,"Unless you are reporting an emergency, transmit only when directed by the net control station",All these choices are correct,,C
T2C08,0,Which of the following relays messages using email addresses based on amateur callsigns?,,Winlink,FT8,PSK31,AMTOR,,A
T2C09,3,Are amateur station control operators ever permitted to operate outside the frequency privileges of their license class?,,No,"Yes, but only when part of a FEMA emergency plan","Yes, but only when part of a RACES emergency plan","Yes, but only in situations involving the immediate safety of human life or protection of property",,D
T2C10,3,What information is contained in the preamble of a formal traffic message?,,The email address of the originating station,The address of the intended recipient,The telephone number of the addressee,Information needed to track the message,,D
T2C11,0,What is meant by “check” in a radiogram header?,,The number of words or word equivalents in the text portion of the message,The call sign of the originating station,A list of stations that have relayed the message,A box on the message form that indicates that the message was received and/or relayed,,A
T2C12,1,Which of the following requires certification by a civil defense agency?,,ARES,RACES,MARS,SKYWARN,,B
T3A01,2,Why do VHF signal strengths sometimes vary greatly when the antenna is moved only a few feet?,,The signal path encounters different concentrations of water vapor,VHF ionospheric propagation is very sensitive to path length,Multipath propagation cancels or reinforces signals,The Doppler effect causes slight frequency shifts which result in changes in signal strength,,C
T3A02,1,How does vegetation affect UHF and microwave signals?,,"Causes knife-edge diffraction, distorting voice peaks","Absorbs signals, leading to poor reception of weak signals","Amplifies signals, improving reception of weak signals",Has no effect,,B
T3A03,2,What antenna polarization is normally used for long-distance CW and SSB contacts on the VHF and UHF bands?,,Right-hand circular,Left-hand circular,Horizontal,Vertical,,C
T3A04,1,What is the effect of antenna cross-polarization over a line-of-sight VHF or UHF path?,,Modulation sidebands might become inverted,Received signal strength is reduced,Signals have an echo effect,Nothing significant will happen,,B
T3A05,1,"When using a directional antenna, how might your station be able to communicate with a distant repeater if buildings or obstructions are blocking the direct line of sight path?",,Change from vertical to horizontal polarization,Try to find a path that reflects signals to the repeater,Try the long path,Increase the antenna SWR,,B
T3A06,1,What is the meaning of the term “picket fencing”?,,Alternating transmissions during a net operation,Rapid flutter on mobile signals due to multipath propagation,A type of ground system used with vertical antennas,Interference from cable TV in the form of carriers at fixed intervals across the band,,B
T3A07,2,What weather condition might decrease range at microwave frequencies?,,High winds,Low barometric pressure,Precipitation,Colder temperatures,,C
T3A08,3,What is a likely cause of irregular fading of signals propagated by the ionosphere?,,Frequency shift due to Faraday rotation,Interference from thunderstorms,Intermodulation distortion,Random combining of signals arriving via different paths,,D
T3A09,1,Which of the following results from the fact that signals propagated by the ionosphere are elliptically polarized?,,Digital modes are unusable,Either vertically or horizontally polarized antennas may be used for transmission or reception,FM voice is unusable,Both the transmitting and receiving antennas must be of the same polarization,,B
T3A10,3,What effect does multi-path propagation have on data transmissions?,,Transmission rates must be increased by a factor equal to the number of separate paths observed,Transmission rates must be decreased by a factor equal to the number of separate paths observed,No significant changes will occur if the signals are transmitted using FM,Error rates are likely to increase,,D
T3A11,2,Which region of the atmosphere can reflect HF radio waves?,,The stratosphere,The troposphere,The ionosphere,The electrosphere,,C
T3A12,1,What effect does fog or rain have on 10-meter and 6-meter band signals?,,Absorption,Little effect,Deflection,Increased range,,B
T3B01,3,What is the relationship between the electric and magnetic fields of an electromagnetic wave?,,They travel at different speeds,They are in parallel,They revolve in opposite directions,They are at right angles,,D
T3B02,0,What property of a radio wave defines its polarization?,,The orientation of the electric field,The orientation of the magnetic field,The ratio of the energy in the magnetic field to the energy in the electric field,The ratio of the velocity to the wavelength,,A
T3B03,2,What are the two components of a radio wave?,,Impedance and reactance,Voltage and current,Electric and magnetic fields,Ionizing and non-ionizing radiation,,C
T3B04,0,What is the velocity of a radio wave traveling through free space?,,Speed of light,Speed of sound,0.86 times the speed of light,1.86 times the speed of sound,,A
T3B05,1,What is the relationship between wavelength and frequency?,,Wavelength gets longer as frequency increases,Wavelength gets shorter as frequency increases,Wavelength is constant at all frequencies,Wavelength and frequency increase as path length increases,,B
T3B06,3,What is the formula for converting frequency to approximate wavelength in meters?,,Wavelength in meters equals frequency in hertz multiplied by 300,Wavelength in meters equals frequency in hertz divided by 300,Wavelength in meters equals frequency in megahertz divided by 300,Wavelength in meters equals 300 divided by frequency in megahertz,,D
T3B07,0,"In addition to frequency, which of the following is used to identify amateur radio bands?",,The approximate wavelength in meters,Traditional letter/number designators,Channel numbers,All these choices are correct,,A
T3B08,1,What frequency range is referred to as VHF?,,30 kHz to 300 kHz,30 MHz to 300 MHz,300 kHz to 3000 kHz,300 MHz to 3000 MHz,,B
T3B09,3,What frequency range is referred to as UHF?,,30 to 300 kHz,30 to 300 MHz,300 to 3000 kHz,300 to 3000 MHz,,D
T3B10,2,What frequency range is referred to as HF?,,300 to 3000 MHz,30 to 300 MHz,3 to 30 MHz,300 to 3000 kHz,,C
T3B11,1,What is the approximate velocity of a radio wave in free space?,,"150,000,000 meters per second","300,000,000 meters per second","300,000,000 miles per hour","150,000,000 miles per hour",,B
T3B12,3,Which of these frequencies travels at the highest velocity in free space?,,Microwaves,UHF,VHF,All radio frequencies travel at the same velocity,,D
T3C01,2,Why are simplex UHF signals rarely heard beyond their radio horizon?,,They are too weak to go very far,FCC regulations prohibit them from going more than 50 miles,UHF signals are usually not propagated by the ionosphere,UHF signals are absorbed by the ionospheric D region,,C
T3C02,2,What is a characteristic of HF communication compared with communications on VHF and higher frequencies?,,HF antennas are generally smaller,HF accommodates wider bandwidth signals,Long-distance ionospheric propagation is far more common on HF,There is less atmospheric interference (static) on HF,,C
T3C03,1,What is one characteristic of VHF signals received via auroral backscatter?,,"They are often received from 10,000 miles or more","They are distorted, with a characteristic raspy sound",They occur only during winter nighttime hours,They are generally strongest when your antenna is aimed west,,B
T3C04,1,"Which of the following types of propagation is most commonly associated with occasional strong signals on the 10-, 6-, and 2-meter bands from beyond the radio horizon?",,Backscatter,Sporadic E,D region absorption,Gray-line propagation,,B
T3C05,0,Which of the following effects may allow radio signals to travel beyond obstructions between the transmitting and receiving stations?,,Knife-edge diffraction,Faraday rotation,Quantum tunneling,Doppler shift,,A
T3C06,0,What type of propagation is responsible for allowing over-the-horizon VHF and UHF communications to ranges of approximately 300 miles on a regular basis?,,Tropospheric ducting,D region refraction,F2 region refraction,Faraday rotation,,A
T3C07,1,What band is best suited for communicating via meteor scatter?,,33 centimeters,6 meters,2 meters,70 centimeters,,B
T3C08,3,What causes tropospheric ducting?,,Discharges of lightning during electrical storms,Sunspots and solar flares,Updrafts from hurricanes and tornadoes,Temperature inversions in the atmosphere,,D
T3C09,0,What is generally the best time for long-distance 10-meter band propagation via the F region?,,From dawn to shortly after sunset during periods of high sunspot activity,From shortly after sunset to dawn during periods of high sunspot activity,From dawn to shortly after sunset during periods of low sunspot activity,From shortly after sunset to dawn during periods of low sunspot activity,,A
T3C10,0,Which of the following bands may provide long-distance communications via the ionosphere’s F region during the peak of the sunspot cycle?,,6 and 10 meters,23 centimeters,70 centimeters and 1.25 meters,All these choices are correct,,A
